genus 	a1	a2	a3	a4	a5	a6	a7	b1	b2	c1	c2	c3	d1	d2	d3	d4	e1	e2	e3	e4	e5	e6	e7	e8	f1	f2	f3	f4	g1	g2	g3	g4	g5	j1	j2	j3	j4	j5	u1	u2	u3	u4	u5	u6	u7	u8	h1	h2	h3	h4	h5	h6	h7	h8	h9	i2	i3	i4	i5	i6	i7	i8	GRA	MIN	XYL	SHR	GAT	AFF	PFF	PRED	PAR	OTHER
taxon33	0	0	3	3	0	0	0	2.8	0.4	0.3	2.7	0.1	3	0	0	3	0	0	0	3	0	0	0	0	2	1	1	0	0	0	0	0	2	3	0.2	0	0	0	0	0	0	3	0	0	2	0	0	0	2	5	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
taxon34	0	0	3	1	0	0	0	3	3	0	3	0	3	0	0	3	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	3	1	0	0	0	0	1	2	5	1	1	2	1	0	0	0	1	2	0	0	0	0.3	0	0	0	0.2	0.5	0	0	0	0
taxon35	0	2.4	1	0	0	0	0	2.6	1	0	2.6	0.6	3	0	0	3	0.6	0	1.4	1	0	0	0	0	3	1.2	0.4	0	0	0	0	1	0.8	1	3	0	0	0	0	0.2	0	2.6	0.8	0.4	0	0	0	0	3	1.8	3	0.8	0	0	0	0	1.2	2.8	0.6	0	0	0	0.436363636	0	0	0.181818182	0.245454545	0	0	0	0	0.136363636
taxon36	0	0	0	1.4	2	0.6	0	2.8	1	0.2	2.4	0.8	3	0	0	2.2	0	0	0	3	0.2	0	0	0	2	1.2	0	0	0	0	0	1.4	0	3	0	0	0	0	0	0.4	0	3	0	0	0	0	0	0.4	2.4	3.2	2.2	1.4	0.6	0.6	0	0	1	3	0	0	0.4	0	0.48	0	0	0.23	0.13	0	0	0	0	0.16
taxon37	0	0	0.333333333	3	0	0	0	3	0.333	0	3	0.333	3	0	0	2.666666667	0	0	0	3	0	0	0	0	2	1	0	0	0.333333333	0	0	1.666666667	0.666666667	3	0.333	0	0	0	0	1	0	3.333333333	0	0	0	0	0	0	2.333333333	3.666666667	1.666666667	1	0	1	0	0	0.666666667	2.666666667	0	0	0	0	0.5	0	0	0.2	0.133333333	0	0	0	0	0.166666667
taxon38	0	1	1.7	0.8	0.3	0	0	2.8	0.4	0.3	2.7	0.1	3	0	0	2.7	0	0	0	3	0	0	0	0	2	1.1	0.2	0	0.1	0	0.2	1	0.9	3	0.2	0	0	0	0	0.9	0	3	0.3	0	0.2	0	0	0.5	2	2.4	1.7	1.1	0	0.1	0	0	1.2	2.1	0	0	0	0	0.610909091	0	0	0.212727273	0.018181818	0	0	0	0	0.158181818
taxon39	0	0	1	3	0	0	0	2	3	0	0	3	1	2	0	2	0	0	1	2	0	0	3	0	1	2	0	3	2	0	0	3	1	0	0	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0
taxon40	0	0	0	3	2	0	0	3	1	0	3	0	3	3	0	2	0	0	0	0	0	3	0	0	1	3	0	2	2	0	0	0	2	1	0	1	3	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0
taxon41	0	0	0	3	2	0	0	0	3	3	1	0	0	3	0	0	0	0	0	3	0	0	3	0	0	2	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	4	3	0	0	0	0	1	1	0	0	1	1	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon42	0	0	0	0	3	1	0	0	3	3	0	0	2	3	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	1	3	1	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon43	0	0	0	1	3	1	0	2	2	1	3	0	3	3	0	0	0	0	0	0	0	3	0	0	2	1	0	2	0	0	0	2	2	1	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon44	0	0	0	0	2	3	0	0	3	3	0	0	2	3	0	0	0	3	0	0	0	0	1	0	2	0	0	3	0	0	0	0	3	1	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon45	0	0	0	0.6	3	0	0	1	3	2	1	0	3	3	0	0	0	0	1	1	3	0	0	0	0.6	0.8	0	3	0	0	0	0.4	2	1	3	0	0	0	0	0	0.2	2.8	1.6	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon46	0	0	0	0	3	0	0	0	3	3	0	0	3	3	0	0	0	1	3	0	0	0	0	0	2	1	0	3	3	0	0	0	0	1	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon47	0	0	3	0	0	0	0	3	0	0	3	0	3	3	0	0	3	1	0	0	0	0	0	0	1	2	0	1	0	0	0	3	1	3	0	0	0	0	0	0	0	5	1	1	0	0	0	1	0	2	2	0	0	0	0	0	3	0	0	0	0	0	0.17	0	0	0.57	0.26	0	0	0	0	0
taxon48	0	0	3	0	0	0	0	1	3	3	1	0	3	3	0	0	0	0	2	2	0	0	0	0	3	2	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	4	0	2	0	0	1	1	1	1	0	0	1	5	0	1	3	1	0	0	1	0	0.1	0	0	0.1	0.2	0	0	0.6	0	0
taxon49	0	0	3	1	0	0	0	3	1	1	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	0	3	3	0	0	0	0	0	0	0	5	2	1	0	0	0	1	1	2	2	1	0	0	0	1	3	1	0	0	0	0	0.3	0	0	0.299	0.4	0	0	0.001	0	0
taxon50	0	1	3	0	0	0	0	2	2	2	2	0	3	3	0	0	0	0	3	1	0	0	0	0	2	2	0	2	0	0	0	1	3	3	0	0	0	0	0	0	0	5	0	0	0	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0.006	0	0	0.675	0.319	0	0	0	0	0
taxon51	0	0	1	3	0	0	0	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	2	0	3	0	0	0	0	0	0	0	5	1	1	0	0	0	2	0	3	2	0	0	0	0	0	1	3	0	0	0	0	0.69	0	0	0.01	0.3	0	0	0	0	0
taxon52	0	0	3	3	0	0	0	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0.2	0	0	0.55	0.25	0	0	0	0	0
taxon53	0	1	3	0	0	0	0	2	1	1	2	0	3	3	3	0	0	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	3	3	2	0	0	0	0	0	0	3	0	0	1	0	0	1	2	2	3	0	1	0	0	1	3	2	2	0	0	0	0.485	0	0	0.385	0.13	0	0	0	0	0
taxon54	0	0	1	3	1	0	0	3	0	0	2	2	3	3	3	0	0	0	0	3	0	0	0	0	3	2	1	3	0	0	0	0	3	2	3	0	0	0	0	0	0	2	0	0	3	0	0	2	1	3	0	0	3	1	0	0	0	0	3	0	1	0	0.19	0	0	0	0.005	0	0.515	0.29	0	0
taxon55	0	0	3	0	0	0	0	0	3	3	0	0	3	2	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0.5	0.3	0	0	0	0.2	0	0
taxon56	0	0	3	1	0	0	0	3	1	0	3	1	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	2	0	0	0	0	3	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	4	1	0	0	0	0	0	0	3	1	0	0	0	0	0.5	0	0	0.3	0.2	0	0	0	0	0
